"call_type","weekday","hour","avg"
"1","Friday   ","9",23.1250000000000000
"1","Friday   ","10",23.8958333333333333
"1","Friday   ","11",23.2604166666666667
"1","Friday   ","12",20.6601941747572816
"1","Friday   ","13",25.8349514563106796
"1","Friday   ","14",25.4368932038834951
"1","Friday   ","15",24.2718446601941748
"1","Friday   ","16",23.2524271844660194
"1","Friday   ","17",33.2280701754385965
"1","Friday   ","18",28.1886792452830189
"1","Friday   ","19",24.3773584905660377
"1","Friday   ","20",18.5384615384615385
"1","Friday   ","21",8.9411764705882353
"1","Friday   ","22",0E-20
"1","Monday   ","9",26.5454545454545455
"1","Monday   ","10",27.3092783505154639
"1","Monday   ","11",26.7676767676767677
"1","Monday   ","12",24.5784313725490196
"1","Monday   ","13",29.1470588235294118
"1","Monday   ","14",28.7941176470588235
"1","Monday   ","15",28.7156862745098039
"1","Monday   ","16",26.6568627450980392
"1","Monday   ","17",28.1875000000000000
"1","Monday   ","18",28.6730769230769231
"1","Monday   ","19",25.1346153846153846
"1","Monday   ","20",20.1000000000000000
"1","Monday   ","21",10.7647058823529412
"1","Monday   ","22",0E-20
"1","Saturday ","12",37.6037735849056604
"1","Saturday ","13",21.5471698113207547
"1","Saturday ","14",20.0377358490566038
"1","Saturday ","15",23.8490566037735849
"1","Saturday ","16",18.7647058823529412
"1","Saturday ","17",18.1800000000000000
"1","Saturday ","18",14.9000000000000000
"1","Saturday ","19",12.2800000000000000
"1","Saturday ","20",0E-20
"1","Sunday   ","12",28.4423076923076923
"1","Sunday   ","13",18.4423076923076923
"1","Sunday   ","14",16.0384615384615385
"1","Sunday   ","15",14.7115384615384615
"1","Sunday   ","16",15.9807692307692308
"1","Sunday   ","17",14.5490196078431373
"1","Sunday   ","18",12.9215686274509804
"1","Sunday   ","19",10.9607843137254902
"1","Sunday   ","20",0E-20
"1","Thursday ","9",23.9504950495049505
"1","Thursday ","10",23.9400000000000000
"1","Thursday ","11",25.5300000000000000
"1","Thursday ","12",24.0196078431372549
"1","Thursday ","13",27.0784313725490196
"1","Thursday ","14",26.5882352941176471
"1","Thursday ","15",26.3137254901960784
"1","Thursday ","16",26.1980198019801980
"1","Thursday ","17",26.8636363636363636
"1","Thursday ","18",30.3076923076923077
"1","Thursday ","19",22.6153846153846154
"1","Thursday ","20",22.0204081632653061
"1","Thursday ","21",8.1470588235294118
"1","Thursday ","22",0E-20
"1","Tuesday  ","9",27.8679245283018868
"1","Tuesday  ","10",27.7452830188679245
"1","Tuesday  ","11",27.6886792452830189
"1","Tuesday  ","12",24.4245283018867925
"1","Tuesday  ","13",29.1132075471698113
"1","Tuesday  ","14",29.2924528301886792
"1","Tuesday  ","15",29.3584905660377358
"1","Tuesday  ","16",27.1226415094339623
"1","Tuesday  ","17",30.0781250000000000
"1","Tuesday  ","18",30.0377358490566038
"1","Tuesday  ","19",26.6037735849056604
"1","Tuesday  ","20",22.6603773584905660
"1","Tuesday  ","21",10.9166666666666667
"1","Tuesday  ","22",0E-20
"1","Wednesday","9",27.2169811320754717
"1","Wednesday","10",25.6981132075471698
"1","Wednesday","11",26.1037735849056604
"1","Wednesday","12",23.2358490566037736
"1","Wednesday","13",28.1226415094339623
"1","Wednesday","14",28.8773584905660377
"1","Wednesday","15",26.5377358490566038
"1","Wednesday","16",27.7333333333333333
"1","Wednesday","17",31.4754098360655738
"1","Wednesday","18",30.7169811320754717
"1","Wednesday","19",26.4905660377358491
"1","Wednesday","20",22.2692307692307692
"1","Wednesday","21",10.0857142857142857
"1","Wednesday","22",0E-20
"1 Forgangur","Friday   ","9",2.9418604651162791
"1 Forgangur","Friday   ","10",3.5652173913043478
"1 Forgangur","Friday   ","11",3.5054945054945055
"1 Forgangur","Friday   ","12",2.5111111111111111
"1 Forgangur","Friday   ","13",3.6494845360824742
"1 Forgangur","Friday   ","14",3.6914893617021277
"1 Forgangur","Friday   ","15",3.4226804123711340
"1 Forgangur","Friday   ","16",3.2413793103448276
"1 Forgangur","Friday   ","17",2.2045454545454545
"1 Forgangur","Friday   ","18",1.7941176470588235
"1 Forgangur","Friday   ","19",1.2500000000000000
"1 Forgangur","Friday   ","20",1.3888888888888889
"1 Forgangur","Friday   ","21",1.5000000000000000
"1 Forgangur","Monday   ","9",3.0638297872340426
"1 Forgangur","Monday   ","10",3.2500000000000000
"1 Forgangur","Monday   ","11",3.4086021505376344
"1 Forgangur","Monday   ","12",2.7526881720430108
"1 Forgangur","Monday   ","13",3.5876288659793814
"1 Forgangur","Monday   ","14",3.8723404255319149
"1 Forgangur","Monday   ","15",3.4148936170212766
"1 Forgangur","Monday   ","16",2.9891304347826087
"1 Forgangur","Monday   ","17",2.7441860465116279
"1 Forgangur","Monday   ","18",1.7666666666666667
"1 Forgangur","Monday   ","19",1.2777777777777778
"1 Forgangur","Monday   ","20",1.2000000000000000
"1 Forgangur","Monday   ","21",1.00000000000000000000
"1 Forgangur","Saturday ","12",2.5813953488372093
"1 Forgangur","Saturday ","13",1.8684210526315789
"1 Forgangur","Saturday ","14",1.8108108108108108
"1 Forgangur","Saturday ","15",1.9166666666666667
"1 Forgangur","Saturday ","16",1.6666666666666667
"1 Forgangur","Saturday ","17",1.5909090909090909
"1 Forgangur","Saturday ","18",1.2727272727272727
"1 Forgangur","Saturday ","19",1.2307692307692308
"1 Forgangur","Sunday   ","12",1.5000000000000000
"1 Forgangur","Sunday   ","13",1.5294117647058824
"1 Forgangur","Sunday   ","14",1.1333333333333333
"1 Forgangur","Sunday   ","15",1.4375000000000000
"1 Forgangur","Sunday   ","16",1.1052631578947368
"1 Forgangur","Sunday   ","17",1.3500000000000000
"1 Forgangur","Sunday   ","18",1.00000000000000000000
